Total words: 114029
word: lost frequency: 18
word: wished frequency: 18
word: send frequency: 18
word: seemed frequency: 18
word: hole frequency: 18
word: bag frequency: 18
word: solid frequency: 18
word: ago frequency: 18
word: man’s frequency: 18
word: clean frequency: 18
word: children frequency: 18
word: except frequency: 18
word: powerful frequency: 18
word: chile frequency: 18
word: wid frequency: 18
word: ‘n’ frequency: 18
word: tears frequency: 18
word: horses frequency: 18
word: towhead frequency: 18
word: land frequency: 18
word: spoon frequency: 18
word: hunt frequency: 18
word: dear frequency: 18
word: “it frequency: 18
word: catch frequency: 18
word: rope frequency: 18
word: friend frequency: 18
word: drownded frequency: 18
word: busted frequency: 18
word: preacher frequency: 18
word: “yes” frequency: 17
word: turns frequency: 17
word: herself frequency: 17
word: i’s frequency: 17
word: coffin frequency: 17
word: stuck frequency: 17
word: sold frequency: 17
word: hours frequency: 17
word: frauds frequency: 17
word: out” frequency: 17
word: regular frequency: 17
word: longer frequency: 17
word: deep frequency: 17
word: what’s frequency: 17
word: ones frequency: 17
word: them” frequency: 17
word: you’s frequency: 17
word: bust frequency: 17
word: above frequency: 17
word: tired frequency: 17
word: natural frequency: 17
word: sir frequency: 17
word: reck’n frequency: 17
word: rain frequency: 17
word: state frequency: 17
word: raised frequency: 17
word: wall frequency: 17
word: girl frequency: 17
word: sort frequency: 17
word: real frequency: 17
word: besides frequency: 17
word: telling frequency: 17
word: jis’ frequency: 17
word: states frequency: 17
word: clear frequency: 17
word: beautiful frequency: 17
word: store frequency: 17
word: born frequency: 17
word: locked frequency: 17
word: afraid frequency: 17
word: shove frequency: 16
word: letter frequency: 16
word: “and frequency: 16
word: “what’s frequency: 16
word: part frequency: 16
word: stick frequency: 16
word: fog frequency: 16
word: goodness frequency: 16
word: waked frequency: 16
word: crying frequency: 16
word: clumb frequency: 16
word: yourself frequency: 16
word: week frequency: 16
word: mostly frequency: 16
word: knows frequency: 16
word: wide frequency: 16
word: deal frequency: 16
word: miles frequency: 16
word: neck frequency: 16
word: “well” frequency: 16
word: sense frequency: 16
word: um frequency: 16
word: nice frequency: 16
word: lived frequency: 16
word: laughed frequency: 16
word: am frequency: 16
word: kings frequency: 16
word: worse frequency: 16
word: pay frequency: 16
word: die frequency: 16
word: lose frequency: 16
word: account frequency: 16
word: nearly frequency: 16
word: yards frequency: 16
